Model,Encoding,Imbalance,Accuracy,Precision,Recall,F1,ROC_AUC,CV_F1_mean,CV_F1_std,CV_AUC_mean,CV_AUC_std,CV_Rec_mean,CV_Rec_std
Baseline,OHE,None,0.8873,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
LogisticRegression,OHE,None,0.8985,0.6554,0.2091,0.317,0.7997,0.3405,0.0059,0.7901,0.0067,0.2296,0.0051
DecisionTree,OHE,None,0.844,0.3173,0.3341,0.3255,0.6233,0.3287,0.0153,0.6285,0.0089,0.3465,0.0163
RandomForest,OHE,None,0.8925,0.5431,0.292,0.3798,0.781,0.3737,0.0056,0.7733,0.0079,0.2875,0.0066
kNN,OHE,None,0.8905,0.5289,0.2565,0.3454,0.7265,0.3551,0.0132,0.718,0.0055,0.2662,0.0095
NaiveBayes,OHE,None,0.8572,0.3885,0.4655,0.4235,0.7757,0.4178,0.0147,0.7666,0.0107,0.4594,0.0189
DecisionTree,LE,None,0.8413,0.3187,0.3588,0.3376,0.6345,0.3263,0.0125,0.6267,0.0081,0.3452,0.0167
RandomForest,LE,None,0.8935,0.5526,0.2888,0.3793,0.7854,0.3786,0.0126,0.7747,0.0078,0.2889,0.0132
Baseline,OHE,ClassWeight,0.8873,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
LogisticRegression,OHE,ClassWeight,0.8312,0.3607,0.6444,0.4625,0.7994,0.4513,0.0084,0.7909,0.0073,0.6233,0.0146
DecisionTree,OHE,ClassWeight,0.8462,0.3199,0.3244,0.3221,0.6187,0.3251,0.0085,0.6213,0.0055,0.3304,0.0121
RandomForest,OHE,ClassWeight,0.8918,0.5372,0.2877,0.3747,0.7803,0.3636,0.0079,0.7707,0.0077,0.2759,0.0097
kNN,OHE,ClassWeight,0.8905,0.5289,0.2565,0.3454,0.7265,0.3551,0.0132,0.718,0.0055,0.2662,0.0095
NaiveBayes,OHE,ClassWeight,0.8572,0.3885,0.4655,0.4235,0.7757,0.4178,0.0147,0.7666,0.0107,0.4594,0.0189
DecisionTree,LE,ClassWeight,0.8477,0.3316,0.3459,0.3386,0.6292,0.3248,0.0132,0.6202,0.0074,0.3255,0.0128
RandomForest,LE,ClassWeight,0.8932,0.5526,0.2716,0.3642,0.7805,0.3649,0.0139,0.7739,0.0074,0.2719,0.011
Baseline,OHE,SMOTE,0.8873,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
LogisticRegression,OHE,SMOTE,0.8289,0.3583,0.6552,0.4632,0.7971,0.3405,0.0059,0.7901,0.0067,0.2296,0.0051
DecisionTree,OHE,SMOTE,0.8456,0.328,0.3534,0.3402,0.6338,0.3287,0.0153,0.6285,0.0089,0.3465,0.0163
RandomForest,OHE,SMOTE,0.8888,0.5104,0.3179,0.3918,0.7763,0.3737,0.0056,0.7733,0.0079,0.2875,0.0066
kNN,OHE,SMOTE,0.7961,0.292,0.5679,0.3857,0.7361,0.3551,0.0132,0.718,0.0055,0.2662,0.0095
NaiveBayes,OHE,SMOTE,0.8428,0.3654,0.5366,0.4347,0.7719,0.4178,0.0147,0.7666,0.0107,0.4594,0.0189
DecisionTree,LE,SMOTE,0.8322,0.2854,0.3254,0.3041,0.6136,0.3263,0.0125,0.6267,0.0081,0.3452,0.0167
RandomForest,LE,SMOTE,0.8905,0.5217,0.3362,0.4089,0.7794,0.3786,0.0126,0.7747,0.0078,0.2889,0.0132
RandomForest_Tuned,OHE,Tuned,0.9008,0.674,0.2317,0.3448,0.8092,—,—,—,—,—,—
