Model,Encoding,Imbalance,Accuracy,Precision,Recall,F1,ROC_AUC
LogisticRegression,OHE,None,0.8985,0.6554,0.2091,0.317,0.7997
DecisionTree,OHE,None,0.844,0.3173,0.3341,0.3255,0.6233
RandomForest,OHE,None,0.8925,0.5431,0.292,0.3798,0.781
kNN,OHE,None,0.8905,0.5289,0.2565,0.3454,0.7265
NaiveBayes,OHE,None,0.8572,0.3885,0.4655,0.4235,0.7757
LogisticRegression,OHE,ClassWeight,0.8312,0.3607,0.6444,0.4625,0.7994
DecisionTree,OHE,ClassWeight,0.8462,0.3199,0.3244,0.3221,0.6187
RandomForest,OHE,ClassWeight,0.8918,0.5372,0.2877,0.3747,0.7803
kNN,OHE,ClassWeight,0.8905,0.5289,0.2565,0.3454,0.7265
NaiveBayes,OHE,ClassWeight,0.8572,0.3885,0.4655,0.4235,0.7757
LogisticRegression,OHE,SMOTE,0.8289,0.3583,0.6552,0.4632,0.7971
DecisionTree,OHE,SMOTE,0.8456,0.328,0.3534,0.3402,0.6338
RandomForest,OHE,SMOTE,0.8888,0.5104,0.3179,0.3918,0.7763
kNN,OHE,SMOTE,0.7961,0.292,0.5679,0.3857,0.7361
NaiveBayes,OHE,SMOTE,0.8428,0.3654,0.5366,0.4347,0.7719
LogisticRegression,LabelEnc,None,0.8985,0.6586,0.2058,0.3136,0.7936
DecisionTree,LabelEnc,None,0.8413,0.3187,0.3588,0.3376,0.6345
RandomForest,LabelEnc,None,0.8935,0.5526,0.2888,0.3793,0.7854
kNN,LabelEnc,None,0.8952,0.574,0.2716,0.3687,0.7334
NaiveBayes,LabelEnc,None,0.8346,0.3446,0.5183,0.4139,0.7697
LogisticRegression,LabelEnc,ClassWeight,0.8152,0.3352,0.6509,0.4425,0.7935
DecisionTree,LabelEnc,ClassWeight,0.8477,0.3316,0.3459,0.3386,0.6292
RandomForest,LabelEnc,ClassWeight,0.8932,0.5526,0.2716,0.3642,0.7805
kNN,LabelEnc,ClassWeight,0.8952,0.574,0.2716,0.3687,0.7334
NaiveBayes,LabelEnc,ClassWeight,0.8346,0.3446,0.5183,0.4139,0.7697
LogisticRegression,LabelEnc,SMOTE,0.8028,0.3184,0.6573,0.429,0.7914
DecisionTree,LabelEnc,SMOTE,0.8322,0.2854,0.3254,0.3041,0.6136
RandomForest,LabelEnc,SMOTE,0.8905,0.5217,0.3362,0.4089,0.7794
kNN,LabelEnc,SMOTE,0.7952,0.285,0.542,0.3736,0.7229
NaiveBayes,LabelEnc,SMOTE,0.7462,0.2655,0.7091,0.3864,0.7692
